year,question_number,primary_subject,sub_topic,ambiguous_note,question_text_en
67th-reexam,3,History,Modern,Rajendra Prasad — Bihar figure,Dr. Rajendra Prasad elected Chairman of Constituent Assembly in (December 1946)
67th-reexam,37,History,Ancient,could be Science & Tech/Physics,First person to define speed (Galileo)
67th-reexam,69,Current Affairs,International,could be Economy/trade,Country signed FTA with UAE recently (Israel)
67th-reexam,75,Current Affairs,Schemes & Indices,could be Polity,First State to implement Centre's New Education Policy (Uttarakhand)
67th-reexam,90,History,Ancient,Rajagriha — Bihar-linked,Where was first Buddhist Council convened (Rajagriha)
67th-reexam,132,Polity,Constitutional provisions,could be Current Affairs,'One Nation One Election' would require amendment of which Article (Article 83)
68th,16,Current Affairs,National,could be Economy,State with highest FDI equity flow Apr-Sep 2022 (Gujarat)
68th,20,Current Affairs,National,could be Economy,India's trade balance Dec 2022 provisional (- 11.98 USD bn)
68th,33,History,Modern,could be Bihar-Specific,Peasant leader — sanyasi with Tulsidas Ramayana (Yadunandan Sharma)
68th,52,Bihar-Specific,History & Culture,could be plain History/Modern,"1940 Vinoba Bhave started individual Satyagraha from (Pavnar, Maharashtra)"
68th,63,Current Affairs,National,could be Economy,Committee that submitted report on gas pricing (Kirit Parikh Committee)
68th,98,Geography,Physical,Bihar-linked,UP and Bihar's Koppen climatic classification (Aw)
69th,3,Geography,Economic,natural fibres — could be General Science/GK,"Match cloth with origin (Linen, Coir, Mohair, Down)"
69th,14,Science & Technology,Tech & Innovation,WWII history — could be History/Modern,What is the Manhattan Project
69th,31,Current Affairs,National,location — could be Geography,Shipwreck Tourism — Sunchi Reef/Amee Shoals/Grande Island location (Goa)
69th,32,Current Affairs,International,could be Economy,G20 members represent — which statistics correct
69th,37,Current Affairs,International,static GK/culture — could be Geography/World,Thadingyut Festival celebrated in which country (Myanmar)
69th,38,Current Affairs,International,static GK,White House statements — which correct
69th,39,Environment & Ecology,Conservation & Policy,could be Economy/S&T,'Net Metering' seen in news in context of (solar billing)
