year,exam_date,paper_variant,booklet_series,question_number,subject,sub_topic,question_type,option_count,statement_count,list_item_count,option_combination_pattern,is_all_or_none_correct,all_none_literal_phrasing,correct_option,key_status,difficulty_guess,ambiguous_subject,ambiguous_note,ca_recency_months,source_type_guess,question_text_en
71st,2025-09-13,main,E,1,Reasoning & Aptitude,Logical/Verbal,reasoning_aptitude,4,,,,FALSE,FALSE,C,final,easy,FALSE,,,specialized reference,Odd one out (Microscope/Telescope/Stethoscope/Periscope)
71st,2025-09-13,main,E,2,Reasoning & Aptitude,Logical/Verbal,reasoning_aptitude,4,,,,FALSE,FALSE,A,final,medium,FALSE,,,specialized reference,Code: SPRING=UNUFRC -> MOBILE
71st,2025-09-13,main,E,3,Reasoning & Aptitude,Logical/Verbal,reasoning_aptitude,4,,,,FALSE,FALSE,D,final,medium,FALSE,,,specialized reference,Blood relation: Mukesh & Rita (Father-in-law)
71st,2025-09-13,main,E,4,Reasoning & Aptitude,Logical/Verbal,reasoning_aptitude,4,,,,FALSE,FALSE,A,final,easy,FALSE,,,specialized reference,"Direction: Ram goes North, right, right, left (East)"
71st,2025-09-13,main,E,5,Reasoning & Aptitude,Logical/Verbal,reasoning_aptitude,4,,,,FALSE,FALSE,B,final,medium,FALSE,,,specialized reference,Alphabetical order — which name appears last
71st,2025-09-13,main,E,6,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,4,,,,FALSE,FALSE,D,final,medium,FALSE,,,specialized reference,Ranking: Nitin's rank from the beginning (16th)
71st,2025-09-13,main,E,7,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,4,,,,FALSE,FALSE,A,final,medium,FALSE,,,specialized reference,Symbol-substitution arithmetic (77)
71st,2025-09-13,main,E,8,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,4,,,,FALSE,FALSE,D,final,medium,FALSE,,,specialized reference,"Ages of Seema and Laxmi (9, 50)"
71st,2025-09-13,main,E,9,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,4,,,,FALSE,FALSE,B,final,medium,FALSE,,,specialized reference,Missing number in 3x3 matrix (35)
71st,2025-09-13,main,E,10,Reasoning & Aptitude,Logical/Verbal,reasoning_aptitude,4,,,,FALSE,FALSE,D,final,medium,FALSE,,,specialized reference,"Code: RAIN=8$%6, MORE=7#8@ -> REMAIN"
71st,2025-09-13,main,E,11,Bihar-Specific,Recent Developments,simple_mcq,4,,,,FALSE,FALSE,Deleted,final,medium,TRUE,Bihar sports — could be Current Affairs/Sports,,current_affairs,Bronze medals by Bihar in 38th Nat'l Junior Athletics C'ship 2025 (Deleted)
71st,2025-09-13,main,E,12,Bihar-Specific,Geography,simple_mcq,4,,,,FALSE,FALSE,C,final,medium,FALSE,,,current_affairs,"Districts benefiting from Kosi-Mechi Link Project (Araria, Purnea, Kishanganj, Katihar)"
71st,2025-09-13,main,E,13,Current Affairs,National,simple_mcq,4,,,,FALSE,FALSE,D,final,medium,FALSE,,,current_affairs,Indian languages accorded Classical Language status (More than one)
71st,2025-09-13,main,E,14,Environment & Ecology,Biodiversity,simple_mcq,4,,,,FALSE,FALSE,C,final,medium,TRUE,Nagi is in Bihar,,current_affairs,Org that recognized Nagi Bird Sanctuary as IBA (Bird Life International)
71st,2025-09-13,main,E,15,Bihar-Specific,Recent Developments,simple_mcq,4,,,,FALSE,FALSE,B,final,medium,FALSE,,5,current_affairs,Where National Panchayati Raj Day 2025 event was organised (Madhubani)
71st,2025-09-13,main,E,16,Science & Technology,Tech & Innovation,simple_mcq,4,,,,FALSE,FALSE,A,final,medium,TRUE,could be Current Affairs,,current_affairs,Primary objective of Lunar Trailblazer mission (map water on Moon)
71st,2025-09-13,main,E,17,Current Affairs,International,simple_mcq,4,,,,FALSE,FALSE,C,final,easy,TRUE,static GK,,current_affairs,Afrikaners indicate which people (white minority in South Africa)
71st,2025-09-13,main,E,18,Current Affairs,National,simple_mcq,4,,,,FALSE,FALSE,B,final,medium,TRUE,could be History/Art & Culture,,current_affairs,16th-century stepwell conserved by ASI + World Monuments Fund (Rajon ki Baoli)
71st,2025-09-13,main,E,19,Current Affairs,International,simple_mcq,4,,,,FALSE,FALSE,B,final,medium,FALSE,,5,current_affairs,NYC mayor who proclaimed Apr 14 2025 Ambedkar Day (Eric Adams)
71st,2025-09-13,main,E,20,Current Affairs,International,simple_mcq,4,,,,FALSE,FALSE,C,final,medium,FALSE,,,current_affairs,Permanent slogan of Eurovision Song Contest (United By Music)
71st,2025-09-13,main,E,21,Science & Technology,Tech & Innovation,simple_mcq,4,,,,FALSE,FALSE,D,final,medium,TRUE,could be Current Affairs,7,current_affairs,What is true of ISRO's GSLV-F15 mission (More than one)
71st,2025-09-13,main,E,22,Current Affairs,International,simple_mcq,4,,,,FALSE,FALSE,D,final,medium,FALSE,,,current_affairs,What is true of the 18th G20 Summit (More than one)
