year,question_number,subject,question_text_en,key_correct_option,key_status,recheck_reason
70th,104,Bihar-Specific,Manvi Madhu Kashyap became Bihar's first transgender ___,C,provisional,"Answer key says (A) Bus Driver; she is widely reported as Bihar's first transgender Sub-Inspector (Police), not Bus Driver."
70th,117,Economy,RBI forecast for headline inflation FY2025 (5.0%),B,provisional,RBI headline inflation forecast figure in key does not match publicly reported RBI projections for the period.
70th,129,Environment & Ecology,Major cause of air pollution (provisional key: Disposal of plastics),B,provisional,Key's 'major cause of air pollution' answer (disposal of plastics) is inconsistent with standard science; vehicular/industrial emissions are the conventionally cited major cause.
70th,135,Current Affairs,Union Textiles Minister after 18th Lok Sabha (provisional key: G.S. Shekhawat),C,provisional,Key names a Union Textiles Minister that does not match the publicly reported holder of that post after the 18th Lok Sabha.
70th,139,Polity,Amendment that abolished Anglo-Indian reserved seats (provisional key: 108th),B,provisional,"Key says 108th Amendment abolished Anglo-Indian reserved seats; this was actually the 104th Constitutional Amendment Act, 2019."
70th,141,Economy,RBI criterion for SFB to become Universal Bank (provisional key: Rs 500 cr),B,provisional,Key's RBI net-worth criterion for SFB-to-Universal-Bank conversion does not match RBI's publicly stated threshold.
70th,150,Current Affairs,Constituency of new Odisha CM Mohan Charan Majhi (provisional key: Laikera),B,provisional,Key's constituency for Odisha CM Mohan Charan Majhi does not match his publicly reported constituency (Keonjhar).
70th-reexam,41,History,INC President after Bose resigned 1939 (provisional key: Abul Kalam Azad),B,provisional,Key says Abul Kalam Azad became INC President after Bose resigned in 1939; Rajendra Prasad is the widely reported successor.
70th-reexam,61,Science & Technology,Sour taste of vinegar due to (provisional key: Citric acid),D,provisional,Key attributes vinegar's sour taste to citric acid; acetic acid is the standard textbook answer.
70th-reexam,64,History,'Tarikh-i-Firuz Shahi' written by (provisional key: Minhaj Siraj),D,provisional,"Key attributes 'Tarikh-i-Firuz Shahi' to Minhaj Siraj; this work is standardly attributed to Ziauddin Barani (Minhaj-us-Siraj wrote Tabaqat-i-Nasiri, a different text)."
70th-reexam,68,Geography,Oil refinery with maximum capacity in India (provisional key: Barauni),B,provisional,Key names Barauni as India's highest-capacity oil refinery; publicly reported capacity rankings place other refineries (e.g. Jamnagar) well above it.
70th-reexam,78,Bihar-Specific,River known as 'Sorrow of Bihar' (provisional key: Son),A,provisional,Key says the Son river is 'Sorrow of Bihar'; this epithet is conventionally applied to the Kosi river.
