year,exam_date,paper_variant,booklet_series,question_number,subject,sub_topic,question_type,option_count,statement_count,list_item_count,option_combination_pattern,is_all_or_none_correct,all_none_literal_phrasing,correct_option,key_status,difficulty_guess,ambiguous_subject,ambiguous_note,ca_recency_months,source_type_guess,question_text_en,needs_sme_recheck,sme_recheck_reason
67th-reexam,2022-09-30,re-exam,B,1,History,Modern,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,NCERT-level,Who got Labour Dept portfolio in Interim Govt Cabinet 1946 (Jagjivan Ram),FALSE,
67th-reexam,2022-09-30,re-exam,B,2,Bihar-Specific,History & Culture,simple_mcq,5,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,specialized reference,1942 festival when JP Narayan escaped Hazaribagh jail (Deepawali),FALSE,
67th-reexam,2022-09-30,re-exam,B,3,History,Modern,simple_mcq,5,,,,FALSE,FALSE,A,provisional,medium,TRUE,Rajendra Prasad — Bihar figure,,NCERT-level,Dr. Rajendra Prasad elected Chairman of Constituent Assembly in (December 1946),FALSE,
67th-reexam,2022-09-30,re-exam,B,4,History,Modern,simple_mcq,5,,,,FALSE,FALSE,A,provisional,easy,FALSE,,,NCERT-level,Who is known as 'Frontier Gandhi' (Abdul Gaffar Khan),FALSE,
67th-reexam,2022-09-30,re-exam,B,5,History,Modern,simple_mcq,5,,,,FALSE,FALSE,D,provisional,easy,FALSE,,,NCERT-level,Where did Rani Laxmibai of Jhansi die (Gwalior),FALSE,
67th-reexam,2022-09-30,re-exam,B,6,History,Modern,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,specialized reference,Who said Bengal Partition 'fell like a bomb shell' (Surendra Nath Bannerjee),FALSE,
67th-reexam,2022-09-30,re-exam,B,7,History,Modern,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,specialized reference,Sardar Udham Singh killed whom (Michael O'Dwyer),FALSE,
67th-reexam,2022-09-30,re-exam,B,8,History,Modern,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,NCERT-level,Who successfully led the Bardoli Satyagraha (Vallabhbhai Patel),FALSE,
67th-reexam,2022-09-30,re-exam,B,9,History,Modern,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,NCERT-level,Who was NOT a member of the 1946 Cabinet Mission (Ramsay MacDonald),FALSE,
67th-reexam,2022-09-30,re-exam,B,10,History,Modern,simple_mcq,5,,,,FALSE,FALSE,D,provisional,easy,FALSE,,,NCERT-level,Year of the Gandhi-Irwin Pact (1931 AD),FALSE,
