year,exam_date,paper_variant,booklet_series,question_number,subject,sub_topic,question_type,option_count,statement_count,list_item_count,option_combination_pattern,is_all_or_none_correct,all_none_literal_phrasing,correct_option,key_status,difficulty_guess,ambiguous_subject,ambiguous_note,ca_recency_months,source_type_guess,question_text_en
68th,2023-02-12,main,A,1,Polity,Constitutional provisions,simple_mcq,5,,,,FALSE,FALSE,A,final,medium,FALSE,,,NCERT-level,'Equality before law' Art 14 borrowed from Constitution of (Britain)
68th,2023-02-12,main,A,2,Polity,Constitutional provisions,simple_mcq,5,,,,FALSE,FALSE,C,final,easy,FALSE,,,NCERT-level,Duration of making the Indian Constitution (2yr 11mo 18days)
68th,2023-02-12,main,A,3,Polity,Constitutional provisions,simple_mcq,5,,,,FALSE,FALSE,C,final,easy,FALSE,,,NCERT-level,State Council of Ministers collectively responsible to (Legislative Assembly)
68th,2023-02-12,main,A,4,Polity,Panchayati Raj & local governance,statement_based,5,4,,"1, 2 and 4 only",FALSE,FALSE,B,final,medium,FALSE,,,NCERT-level,Post-73rd Amendment decentralization — which statements correct
68th,2023-02-12,main,A,5,Polity,Constitutional provisions,simple_mcq,5,,,,TRUE,TRUE,D,final,medium,FALSE,,,NCERT-level,Representation in Rajya Sabha includes (More than one of the above)
68th,2023-02-12,main,A,6,Polity,Constitutional provisions,simple_mcq,5,,,,TRUE,TRUE,D,final,medium,FALSE,,,NCERT-level,Concerned with the Supreme Court of India (More than one of the above)
68th,2023-02-12,main,A,7,Polity,Panchayati Raj & local governance,simple_mcq,5,,,,FALSE,FALSE,A,final,easy,FALSE,,,NCERT-level,Min age to contest Panchayati Raj elections per 73rd CAA (21 years)
68th,2023-02-12,main,A,8,Economy,Banking & finance,simple_mcq,5,,,,TRUE,TRUE,E,final,hard,FALSE,,,specialized reference,District Consumer Disputes Redressal — which statement is NOT correct (None of the above)
68th,2023-02-12,main,A,9,Polity,Panchayati Raj & local governance,simple_mcq,5,,,,FALSE,FALSE,C,final,easy,FALSE,,,NCERT-level,At what level does Panchayat Samiti operate (Block-level body)
68th,2023-02-12,main,A,10,Economy,Five-year plans & policy,simple_mcq,5,,,,FALSE,FALSE,A,final,medium,FALSE,,,NCERT-level,First programme of community development (National Extension Service)
