cell,dimension,n,flag
Geography,statement_based,3,LOW CONFIDENCE (<10 across all 6 papers combined)
Geography,match_the_following,2,LOW CONFIDENCE (<10 across all 6 papers combined)
Geography,assertion_reason,1,LOW CONFIDENCE (<10 across all 6 papers combined)
Polity,match_the_following,1,LOW CONFIDENCE (<10 across all 6 papers combined)
Economy,match_the_following,1,LOW CONFIDENCE (<10 across all 6 papers combined)
Science & Technology,match_the_following,2,LOW CONFIDENCE (<10 across all 6 papers combined)
Environment & Ecology,statement_based,3,LOW CONFIDENCE (<10 across all 6 papers combined)
Environment & Ecology,match_the_following,1,LOW CONFIDENCE (<10 across all 6 papers combined)
Current Affairs,statement_based,7,LOW CONFIDENCE (<10 across all 6 papers combined)
Current Affairs,match_the_following,1,LOW CONFIDENCE (<10 across all 6 papers combined)
Bihar-Specific,statement_based,4,LOW CONFIDENCE (<10 across all 6 papers combined)
Bihar-Specific,match_the_following,4,LOW CONFIDENCE (<10 across all 6 papers combined)
Geography > Human,(sub_topic),5,LOW CONFIDENCE (<10 across all 6 papers combined)
Environment & Ecology > Climate & Pollution,(sub_topic),7,LOW CONFIDENCE (<10 across all 6 papers combined)
Environment & Ecology > Biodiversity,(sub_topic),7,LOW CONFIDENCE (<10 across all 6 papers combined)
Bihar-Specific > Polity & Governance,(sub_topic),5,LOW CONFIDENCE (<10 across all 6 papers combined)
