year,exam_date,paper_variant,booklet_series,question_number,subject,sub_topic,question_type,option_count,statement_count,list_item_count,option_combination_pattern,is_all_or_none_correct,all_none_literal_phrasing,correct_option,key_status,difficulty_guess,ambiguous_subject,ambiguous_note,ca_recency_months,source_type_guess,question_text_en
67th-reexam,2022-09-30,re-exam,B,1,History,Modern,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,NCERT-level,Who got Labour Dept portfolio in Interim Govt Cabinet 1946 (Jagjivan Ram)
67th-reexam,2022-09-30,re-exam,B,2,Bihar-Specific,History & Culture,simple_mcq,5,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,specialized reference,1942 festival when JP Narayan escaped Hazaribagh jail (Deepawali)
67th-reexam,2022-09-30,re-exam,B,3,History,Modern,simple_mcq,5,,,,FALSE,FALSE,A,provisional,medium,TRUE,Rajendra Prasad — Bihar figure,,NCERT-level,Dr. Rajendra Prasad elected Chairman of Constituent Assembly in (December 1946)
67th-reexam,2022-09-30,re-exam,B,4,History,Modern,simple_mcq,5,,,,FALSE,FALSE,A,provisional,easy,FALSE,,,NCERT-level,Who is known as 'Frontier Gandhi' (Abdul Gaffar Khan)
67th-reexam,2022-09-30,re-exam,B,5,History,Modern,simple_mcq,5,,,,FALSE,FALSE,D,provisional,easy,FALSE,,,NCERT-level,Where did Rani Laxmibai of Jhansi die (Gwalior)
67th-reexam,2022-09-30,re-exam,B,6,History,Modern,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,specialized reference,Who said Bengal Partition 'fell like a bomb shell' (Surendra Nath Bannerjee)
67th-reexam,2022-09-30,re-exam,B,7,History,Modern,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,specialized reference,Sardar Udham Singh killed whom (Michael O'Dwyer)
67th-reexam,2022-09-30,re-exam,B,8,History,Modern,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,NCERT-level,Who successfully led the Bardoli Satyagraha (Vallabhbhai Patel)
67th-reexam,2022-09-30,re-exam,B,9,History,Modern,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,NCERT-level,Who was NOT a member of the 1946 Cabinet Mission (Ramsay MacDonald)
67th-reexam,2022-09-30,re-exam,B,10,History,Modern,simple_mcq,5,,,,FALSE,FALSE,D,provisional,easy,FALSE,,,NCERT-level,Year of the Gandhi-Irwin Pact (1931 AD)
67th-reexam,2022-09-30,re-exam,B,11,History,Modern,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,NCERT-level,Session where INC passed Complete Independence Resolution (1929 Lahore)
67th-reexam,2022-09-30,re-exam,B,12,History,Modern,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,specialized reference,Subhas Chandra Bose renamed Nicobar Island as (Swaraj Island)
67th-reexam,2022-09-30,re-exam,B,13,History,Modern,simple_mcq,5,,,,FALSE,FALSE,A,provisional,easy,FALSE,,,NCERT-level,State of 'Chauri Chaura' incident Feb 1922 (Uttar Pradesh)
67th-reexam,2022-09-30,re-exam,B,14,Bihar-Specific,History & Culture,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,NCERT-level,Place Khudiram Bose tried to kill Kingsford (Muzaffarpur)
67th-reexam,2022-09-30,re-exam,B,15,Bihar-Specific,History & Culture,simple_mcq,5,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,specialized reference,'Azad Dasta' active in Bihar during which Movement (Quit India)
67th-reexam,2022-09-30,re-exam,B,16,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,specialized reference,"Numbers 100-500 divisible by 4,5,6 (6)"
67th-reexam,2022-09-30,re-exam,B,17,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,specialized reference,Sand:cement ratio mixture problem (28 kg)
67th-reexam,2022-09-30,re-exam,B,18,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,specialized reference,"Oranges: 25% loss at Rs150/dozen, rate for 20% profit"
67th-reexam,2022-09-30,re-exam,B,19,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,5,,,,FALSE,FALSE,C,provisional,easy,FALSE,,,specialized reference,Rhombus diagonals 10cm/24cm — perimeter (52 cm)
67th-reexam,2022-09-30,re-exam,B,20,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,specialized reference,Train 140m at 60km/hr crosses dog at 18km/hr in (12 seconds)
67th-reexam,2022-09-30,re-exam,B,21,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,5,,,,FALSE,FALSE,C,provisional,hard,FALSE,,,specialized reference,Clock gains 10 min/24hr — right time when clock shows 11am next day
67th-reexam,2022-09-30,re-exam,B,22,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,specialized reference,Clock hands coincide between 5 and 6
67th-reexam,2022-09-30,re-exam,B,23,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,5,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,specialized reference,"Anil+Suman work in 12 days, Anil alone 20 days — Suman alone (30 days)"
67th-reexam,2022-09-30,re-exam,B,24,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,specialized reference,"Class 55: 34 like Cricket, 26 Badminton, both games — overlap (Venn diagram)"
67th-reexam,2022-09-30,re-exam,B,25,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,5,,,,FALSE,FALSE,A,provisional,hard,FALSE,,,specialized reference,"Two natural numbers: product 2400, sum of squares 5200 (60,40)"
